pr,local_first_attempt_at,local_first_attempt_kind,nearest_public_event_at,nearest_public_event_url,account_reviews_in_window,account_comments_in_window,state,merged_at,outcome_classification
2812,2026-09-07T01:11:30.611Z,review,2026-09-07T01:11:32Z,https://github.com/holon-run/holon/pull/2812#pullrequestreview-5127276044,1,0,MERGED,2026-09-07T01:30:29Z,未分类
2813,2026-09-07T03:10:15.176Z,review,2026-09-07T03:10:17Z,https://github.com/holon-run/holon/pull/2813#pullrequestreview-5127737172,1,2,MERGED,2026-09-07T03:52:02Z,未分类
2814,2026-09-07T04:41:57.270Z,review,2026-09-07T04:41:59Z,https://github.com/holon-run/holon/pull/2814#pullrequestreview-5128116218,1,0,MERGED,2026-09-07T04:49:03Z,未分类
2815,2026-09-07T05:38:33.928Z,review,2026-09-07T05:38:37Z,https://github.com/holon-run/holon/pull/2815#pullrequestreview-5128394267,2,3,MERGED,2026-09-07T08:35:20Z,未分类
2816,2026-09-07T09:22:13.926Z,review,2026-09-07T09:22:19Z,https://github.com/holon-run/holon/pull/2816#pullrequestreview-5130269248,1,0,MERGED,2026-09-07T10:12:51Z,未分类
2817,2026-09-07T10:22:13.447Z,review,2026-09-07T10:22:15Z,https://github.com/holon-run/holon/pull/2817#pullrequestreview-5130821552,1,0,MERGED,2026-09-07T10:45:13Z,未分类
2818,2026-09-07T10:56:44.995Z,review,2026-09-07T10:56:49Z,https://github.com/holon-run/holon/pull/2818#pullrequestreview-5131144671,1,0,MERGED,2026-09-07T11:24:32Z,未分类
2819,2026-09-07T11:33:49.934Z,review,2026-09-07T11:33:54Z,https://github.com/holon-run/holon/pull/2819#pullrequestreview-5131506428,1,0,MERGED,2026-09-07T11:55:43Z,未分类
2820,2026-09-07T15:12:45.695Z,review,2026-09-07T15:12:48Z,https://github.com/holon-run/holon/pull/2820#pullrequestreview-5133481743,1,0,MERGED,2026-09-07T15:18:53Z,未分类
2821,2026-09-07T15:21:10.803Z,review,2026-09-07T15:21:13Z,https://github.com/holon-run/holon/pull/2821#pullrequestreview-5133540569,1,0,MERGED,2026-09-07T15:47:37Z,未分类
